0.0000,0.0000.1,0.0000.2,0.0000.3,0.0000.4,0.0000.5,0.0000.6,0.0000.7,0.0000.8,0.0000.9,0.0000.10,0.0000.11,0.0000.12,0.0000.13,0.0000.14,0.0000.15,0.0000.16,0.0000.17,0.0000.18,0.0000.19,0.0000.20,0.0000.21,0.0000.22,0.0000.23,cluster,date
0.0,0.0,0.0,0.0,0.0,0.598,0.926,2.525,1.891,0.56,0.138,0.036,0.111,0.134,0.081,0.109,0.318,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-01-03
0.0,0.0,0.0,0.0,0.0,0.189,0.694,2.227,1.544,0.605,0.632,0.986,0.585,0.58,0.62,0.823,0.808,0.264,0.0,0.0,0.0,0.0,0.0,0.0,1,2021-01-04
0.0,0.0,0.0,0.0,0.0,0.152,1.793,1.702,1.333,1.548,1.351,1.282,0.261,0.283,0.278,0.12,0.328,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1,2021-01-05
0.0,0.0,0.0,0.0,0.0,0.663,2.878,2.513,1.871,1.842,1.276,0.892,1.154,0.916,0.531,0.637,0.732,0.063,0.0,0.0,0.0,0.0,0.0,0.0,1,2021-01-06
0.0,0.0,0.0,0.0,0.0,0.669,2.677,2.805,1.742,0.348,0.578,0.415,0.153,0.219,0.031,0.286,0.269,0.33,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-01-07
0.0,0.0,0.0,0.0,0.0,1.089,2.795,3.301,2.423,1.918,1.727,1.366,0.235,0.776,1.496,1.758,1.439,0.767,0.0,0.0,0.0,0.0,0.0,0.0,1,2021-01-10
0.0,0.0,0.0,0.0,0.0,0.602,2.677,2.779,2.018,1.64,1.013,0.031,0.0,0.318,0.029,0.141,0.13,0.298,0.0,0.0,0.0,0.0,0.0,0.0,1,2021-01-11
0.0,0.0,0.0,0.0,0.0,0.037,1.376,1.669,1.675,1.681,1.264,1.0,1.0,1.067,1.322,1.0,1.0,0.501,0.0,0.0,0.0,0.0,0.0,0.0,1,2021-01-12
0.0,0.0,0.0,0.0,0.0,0.037,1.251,1.535,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-01-13
0.0,0.0,0.0,0.0,0.0,0.043,1.046,1.546,0.486,0.111,0.173,0.123,0.088,0.093,0.067,0.033,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-01-14
0.0,0.0,0.0,0.0,0.0,0.188,2.136,2.084,0.711,0.067,0.03,0.0,0.117,0.5,0.5,0.5,0.5,0.242,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-01-17
0.0,0.0,0.0,0.0,0.0,0.281,2.032,1.829,0.581,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-01-18
0.0,0.0,0.0,0.0,0.0,0.0,1.149,1.682,1.24,1.0,1.017,1.0,1.001,0.479,0.0,0.404,1.114,0.483,0.0,0.0,0.0,0.0,0.0,0.0,1,2021-01-19
0.0,0.0,0.0,0.0,0.0,0.0,0.927,1.335,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-01-20
0.0,0.0,0.0,0.0,0.0,0.0,0.461,1.237,0.117,0.245,0.0,0.0,0.201,0.224,0.053,0.367,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-01-21
0.0,0.0,0.0,0.0,0.0,0.103,1.362,1.675,1.065,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-01-24
0.0,0.0,0.0,0.0,0.0,0.13,1.569,1.493,0.958,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-01-25
0.0,0.0,0.0,0.0,0.0,0.029,1.26,1.67,1.682,1.276,1.251,1.105,1.0,1.0,1.0,1.0,1.0,0.484,0.0,0.0,0.0,0.0,0.0,0.0,1,2021-01-26
0.0,0.0,0.0,0.0,0.0,0.0,0.319,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-01-27
0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-01-28
0.0,0.0,0.0,0.0,0.0,0.101,1.17,1.415,0.266,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-01-31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-02-02
0.0,0.0,0.0,0.0,0.0,0.0,0.311,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-02-03
0.0,0.0,0.0,0.0,0.0,0.0,0.329,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-02-04
0.0,0.0,0.0,0.0,0.0,0.067,1.645,1.68,0.327,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-02-07
0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-02-08
0.0,0.0,0.0,0.0,0.0,0.0,1.042,1.176,0.4,0.132,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-02-09
0.0,0.0,0.0,0.0,0.0,0.0,0.819,0.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-02-10
0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-02-11
0.0,0.0,0.0,0.0,0.0,0.0,1.778,1.76,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-02-14
0.0,0.0,0.0,0.0,0.0,0.0,0.922,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-02-15
0.0,0.0,0.0,0.0,0.0,0.0,0.404,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-02-16
0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-02-17
0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.033,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-02-18
0.0,0.0,0.0,0.0,0.0,0.0,1.192,0.546,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-02-21
0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-02-22
0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-02-23
0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-02-24
0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-02-25
0.0,0.0,0.0,0.0,0.0,0.0,1.194,0.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-02-28
0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-01
0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-02
0.0,0.0,0.0,0.0,0.0,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.067,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-03
0.0,0.0,0.0,0.0,0.0,0.0,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-04
0.0,0.0,0.0,0.0,0.0,0.0,0.818,0.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-03-07
0.0,0.0,0.0,0.0,0.0,0.033,0.92,0.496,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-03-08
0.0,0.0,0.0,0.0,0.0,0.058,1.224,0.736,0.0,0.0,0.0,0.003,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-03-09
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-10
0.0,0.0,0.0,0.0,0.0,0.066,1.192,1.033,0.036,0.03,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-03-14
0.0,0.0,0.0,0.0,0.0,0.035,0.873,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-03-15
0.0,0.0,0.0,0.0,0.0,0.035,0.771,1.076,1.053,0.05,0.041,0.042,0.032,0.043,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-03-16
0.0,0.0,0.0,0.0,0.0,0.137,1.012,0.362,0.029,0.0,0.0,0.012,0.019,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-03-17
0.0,0.0,0.0,0.0,0.0,0.086,1.013,0.513,0.14,0.068,0.08,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-03-18
0.0,0.0,0.0,0.0,0.0,0.125,1.713,1.506,0.168,0.039,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-03-21
0.0,0.0,0.0,0.0,0.0,0.033,1.096,0.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-03-22
0.0,0.0,0.0,0.0,0.0,0.035,0.457,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-23
0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-24
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-25
0.0,0.0,0.0,0.0,0.0,1.022,0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-03-28
0.0,0.0,0.0,0.0,0.0,1.135,1.322,1.0,1.154,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-04-04
0.0,0.0,0.0,0.0,0.035,1.085,1.148,0.1,0.0,0.0,0.0,0.035,0.04,0.052,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-04-05
0.0,0.0,0.0,0.0,0.06,1.211,0.754,0.028,0.0,0.0,0.001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-04-06
0.0,0.0,0.0,0.0,0.07,1.246,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-04-07
0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.05,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-04-08
0.0,0.0,0.0,0.0,0.05,1.104,0.576,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-04-11
0.0,0.0,0.0,0.0,0.0,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-04-19
0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.003,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-04-21
0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-04-22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-04-25
0.0,0.0,0.0,0.0,0.056,1.268,0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-05-02
0.0,0.0,0.0,0.0,0.0,0.733,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-05-03
0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-05-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-05-19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-10-13
0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-10-14
0.0,0.0,0.0,0.0,0.0,0.008,1.094,1.539,0.0,0.0,0.0,0.081,0.756,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-10-17
0.0,0.0,0.0,0.0,0.0,0.009,0.073,0.161,0.045,0.064,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0,2021-10-24
0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0,2021-10-25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-10-26
0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-10-27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-11-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-11-02
0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.071,0.047,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-11-03
0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.066,0.068,0.033,0.058,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-11-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.006,0,2021-11-06
0.0,0.0,0.0,0.0,0.0,0.0,0.981,0.453,0.041,0.036,0.332,0.271,0.374,0.299,0.099,0.224,0.654,0.304,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-11-07
0.0,0.0,0.0,0.0,0.0,0.0,0.649,0.149,0.068,0.0,0.36,0.5,0.531,0.474,0.532,0.532,0.112,0.154,0.015,0.016,0.0,0.0,0.0,0.0,0,2021-11-08
0.0,0.033,0.016,0.033,0.015,0.032,0.904,0.824,1.479,0.719,1.251,1.351,1.389,1.172,0.515,0.532,0.532,0.273,0.0,0.0,0.0,0.0,0.0,0.0,1,2021-11-09
0.0,0.0,0.0,0.0,0.0,0.0,0.776,0.607,0.644,0.305,1.609,0.883,0.813,0.819,0.55,0.516,0.496,0.107,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-11-14
0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.063,0.796,0.516,0.516,0.5,0.5,0.515,0.242,0.076,0.742,0.41,0.016,0.0,0.0,0.0,0.004,0.007,0,2021-11-15
0.0,0.0,0.0,0.0,0.0,0.0,0.338,0.407,0.279,1.25,1.007,0.308,0.659,0.716,0.472,0.357,0.251,0.246,0.017,0.0,0.0,0.0,0.0,0.0,0,2021-11-16
0.0,0.0,0.0,0.0,0.0,0.0,0.197,0.058,0.054,0.0,0.0,0.0,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-11-17
0.0,0.0,0.0,0.033,0.047,0.03,0.862,0.484,0.96,0.128,0.049,0.016,0.016,0.016,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-11-18
0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.032,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-11-19
0.0,0.0,0.0,0.0,0.0,0.0,0.976,0.338,0.344,0.489,0.548,0.516,0.517,0.532,0.498,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-11-21
0.0,0.032,0.032,0.04,0.04,0.033,0.538,0.929,1.102,1.441,1.319,0.306,0.442,1.294,0.809,0.096,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021-11-22
0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.282,1.271,1.247,1.162,0.593,0.016,0.082,0.0,0.016,0.033,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-11-23
0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.129,0.049,0.016,0.017,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-11-24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.877,0.578,0.878,0.811,0.343,0.371,0.415,0.197,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-11-25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0,2021-11-27
0.015,0.046,0.03,0.016,0.0,0.09,1.476,3.731,1.895,2.32,2.245,1.719,1.185,1.924,1.949,1.312,1.039,0.39,0.062,0.0,0.0,0.0,0.032,0.029,1,2021-11-28
0.031,0.032,0.03,0.048,0.058,0.059,2.911,4.21,2.721,2.501,2.769,1.505,1.405,1.108,0.912,0.913,0.948,0.259,0.057,0.031,0.031,0.032,0.046,0.029,1,2021-11-29
0.017,0.015,0.033,0.015,0.016,1.491,2.678,0.0,1.701,1.411,1.336,1.065,0.139,0.383,0.0,0.307,0.453,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1,2021-11-30
0.0,0.0,0.0,0.0,0.0,0.892,1.343,1.159,0.878,0.293,0.321,0.215,0.308,0.361,0.406,0.223,0.414,0.151,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-12-01
0.0,0.0,0.0,0.0,0.0,0.963,1.495,1.39,0.19,0.164,0.451,0.314,0.245,0.118,0.145,0.165,0.16,0.075,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-12-02
0.0,0.0,0.0,0.0,0.018,1.915,2.67,1.435,1.207,0.096,0.042,0.0,0.0,0.0,0.0,0.047,0.033,0.034,0.0,0.0,0.0,0.0,0.005,0.008,2,2021-12-05
0.0,0.0,0.0,0.0,0.0,0.716,1.137,1.132,0.582,0.207,0.115,0.016,0.0,0.033,0.031,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-12-06
0.0,0.0,0.0,0.0,0.0,0.662,1.21,1.172,0.733,0.517,0.416,0.44,0.454,0.377,0.381,0.387,0.468,0.261,0.037,0.0,0.0,0.0,0.0,0.0,2,2021-12-07
0.0,0.0,0.0,0.0,0.0,1.081,1.538,1.357,0.498,0.099,0.075,0.017,0.032,0.017,0.04,0.04,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-12-08
0.0,0.0,0.0,0.0,0.0,0.516,1.307,0.943,0.531,0.31,0.621,0.0,0.343,0.41,0.331,0.449,0.697,0.336,0.075,0.0,0.0,0.0,0.0,0.0,3,2021-12-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-12-11
0.0,0.0,0.047,0.016,0.039,2.184,2.627,1.308,1.004,0.583,0.564,0.68,0.08,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-12-12
0.0,0.0,0.0,0.0,0.0,0.97,1.326,0.946,0.362,0.21,0.09,0.067,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-12-13
0.0,0.0,0.0,0.0,0.0,0.989,1.421,1.132,0.404,0.139,0.125,0.057,0.016,0.033,0.0,0.031,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-12-14
0.0,0.0,0.0,0.0,0.0,0.85,1.244,1.264,0.217,0.066,0.033,0.016,0.033,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-12-15
0.0,0.0,0.0,0.0,0.0,0.818,1.182,0.573,0.1,0.048,0.033,0.016,0.0,0.0,0.0,0.0,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,3,2021-12-16
0.0,0.0,0.0,0.0,0.016,2.105,2.065,1.609,1.035,0.724,0.439,0.336,0.281,0.235,0.14,0.178,0.179,0.047,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-12-19
0.0,0.0,0.047,0.046,0.034,1.165,1.439,1.174,0.0,0.434,0.515,0.707,0.709,0.748,0.751,0.75,0.74,0.71,0.357,0.0,0.0,0.0,0.0,0.0,2,2021-12-20
0.0,0.0,0.0,0.0,0.0,0.924,1.478,1.819,1.749,0.774,0.754,0.74,0.738,0.769,0.778,0.764,0.775,0.726,0.355,0.0,0.0,0.0,0.0,0.0,1,2021-12-21
0.0,0.0,0.0,0.0,0.0,0.627,1.386,1.384,1.055,0.773,0.775,0.757,0.764,0.766,0.786,0.783,0.776,0.65,0.249,0.0,0.0,0.0,0.0,0.0,1,2021-12-22
0.0,0.0,0.0,0.0,0.0,0.572,1.37,1.302,0.903,0.778,0.763,0.742,0.746,0.763,0.763,0.759,0.773,0.718,0.311,0.0,0.0,0.0,0.0,0.0,1,2021-12-23
0.0,0.0,0.0,0.0,0.019,1.47,1.494,1.501,0.781,0.751,0.735,0.748,0.728,0.424,0.318,0.348,0.561,0.595,0.178,0.0,0.0,0.0,0.0,0.0,2,2022-01-02
0.0,0.0,0.0,0.0,0.0,0.481,1.146,0.835,0.826,0.796,0.755,0.776,0.845,0.745,0.672,0.591,0.759,0.615,0.291,0.0,0.0,0.0,0.0,0.0,1,2022-01-03
